City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
234,kupang,-10.1667,123.5833,28.32,94,100,3.09,ID,1707764405
235,fuling,29.7022,107.3919,13.88,65,92,1.05,CN,1707764369
236,la passe,45.5549,-0.8967,10.13,90,5,3.13,FR,1707764375
237,tucuma,-0.1833,-50.05,28.4,76,42,3.42,BR,1707764609
238,canosa di puglia,41.2196,16.0675,10.58,80,58,1.81,IT,1707764413
239,gilgit,35.9221,74.3087,4.36,28,100,2.66,PK,1707764435
240,pankovka,58.5,31.1999,-5.5,94,100,4.29,RU,1707764609
241,lejanias,3.5251,-74.0216,29.65,81,93,2.62,CO,1707764609
242,jamestown,42.097,-79.2353,3.07,73,100,0.45,US,1707764342
243,yarmouth,41.7057,-70.2286,8.41,70,0,2.68,US,1707764452
244,katsuura,35.1333,140.3,9.69,61,6,5.9,JP,1707764393
245,sinabang,2.4803,96.3801,26.74,80,1,0.69,ID,1707764394
246,pangody,65.85,74.4859,-38.03,100,29,2.99,RU,1707764393
247,susuman,62.7833,148.1667,-41.12,100,55,0.45,RU,1707764454
248,sandnessjoen,66.0217,12.6316,-0.94,51,0,4.63,NO,1707764377
249,macia,-25.0269,33.0989,20.56,80,0,2.37,MZ,1707764611
250,masterton,-40.9597,175.6575,12.28,85,24,0.84,NZ,1707764475
251,gumdag,39.2061,54.5906,13.59,39,20,5.35,TM,1707764611
252,kavaratti,10.5669,72.642,27.92,69,43,2.1,IN,1707764387
253,tadine,-21.55,167.8833,25.32,86,11,8.16,NC,1707764386
254,strezhevoy,60.7333,77.5889,-28.35,99,30,2.24,RU,1707764398
255,montecristo,8.2971,-74.4733,36.05,45,48,1.81,CO,1707764611
256,okoneshnikovo,54.8377,75.0834,-23.0,99,100,2.91,RU,1707764611
257,kapuskasing,49.4169,-82.4331,-4.0,68,75,1.54,CA,1707764342
258,ponta delgada,37.7333,-25.6667,18.44,82,20,8.75,PT,1707764612
259,lihue,21.9789,-159.3672,22.58,87,0,3.6,US,1707764371
260,plonsk,52.6235,20.3755,8.12,89,100,6.18,PL,1707764348
261,protaras,35.0125,34.0583,17.77,78,100,0.89,CY,1707764612
262,gambiran satu,-8.3939,114.1464,22.82,93,95,1.28,ID,1707764612
263,santa elena,-2.2333,-80.85,29.75,70,40,4.12,EC,1707764612
264,chonchi,-42.6128,-73.8092,18.56,34,6,1.86,CL,1707764357
265,farafangana,-22.8167,47.8333,25.38,84,100,3.27,MG,1707764613
266,ende,-8.8432,121.6623,24.79,90,100,0.96,ID,1707764613
267,labrador city,52.9463,-66.9114,-10.05,73,100,4.12,CA,1707764458
268,huambo,-12.7761,15.7392,19.38,71,36,1.51,AO,1707764613
269,kiunga,-6.1219,141.2906,22.89,100,100,0.94,PG,1707764613
270,ust-nera,64.5667,143.2,-39.06,95,85,1.02,RU,1707764376
271,kavieng,-2.5744,150.7967,27.77,78,100,3.64,PG,1707764613
272,polyarnyy,69.1989,33.4478,-19.01,100,84,3.7,RU,1707764362
273,mejit,10.2753,170.8646,26.66,79,100,8.96,MH,1707764398
274,tura,25.5198,90.2201,12.82,32,34,1.4,IN,1707764385
275,sibolga,1.7427,98.7792,25.38,78,7,2.38,ID,1707764614
276,port macquarie,-31.4333,152.9167,19.94,97,100,1.35,AU,1707764472
277,harstad,68.799,16.5293,-2.69,57,100,15.65,NO,1707764614
278,tsiombe,-25.3,45.4833,23.89,94,100,5.07,MG,1707764451
279,kati,12.7441,-8.0726,35.67,7,56,2.12,ML,1707764614
280,broome,42.2506,-75.833,2.72,79,100,2.57,US,1707764614
281,port blair,11.6667,92.75,28.02,78,40,4.63,IN,1707764364
282,baukau,51.5526,7.2042,7.73,85,13,2.83,DE,1707764615
283,sibut,5.718,19.0739,30.19,24,0,1.72,CF,1707764615
284,kirakira,-10.4544,161.9205,26.27,84,39,4.2,SB,1707764468
285,tokmok,42.8417,75.3016,-0.12,95,93,1.28,KG,1707764615
286,alofi,-19.0595,-169.9187,26.94,89,100,3.6,NU,1707764457
287,villamontes,-21.25,-63.5,34.83,40,100,5.02,BO,1707764615
288,manadhoo,5.7667,73.3833,28.21,74,39,6.48,MV,1707764616
289,metlili chaamba,32.2667,3.6333,24.52,29,0,5.66,DZ,1707764616
290,vila velha,-20.3297,-40.2925,29.97,79,20,7.72,BR,1707764616
291,baiyin,36.5583,104.2081,1.08,33,86,0.1,CN,1707764616
292,karacoban,39.3492,42.1124,-4.38,85,100,1.57,TR,1707764616
293,qui nhon,13.7667,109.2333,20.36,89,100,3.18,VN,1707764616
294,caxito,-8.5785,13.6643,27.48,83,54,2.22,AO,1707764616
295,palmas,-10.2128,-48.3603,31.93,58,75,4.63,BR,1707764520
296,yeed,4.55,43.0333,29.71,28,7,4.37,SO,1707764617
297,inyonga,-6.7167,32.0667,20.34,90,100,0.67,TZ,1707764617
298,vilyuchinsk,52.9306,158.4028,-17.26,88,12,3.57,RU,1707764388
299,alice springs,-23.7,133.8833,22.75,94,100,0.0,AU,1707764187
300,yelizovo,53.1873,158.3805,-17.33,53,0,3.13,RU,1707764617
301,bowen,-20.0167,148.2333,24.63,88,60,3.36,AU,1707764618
302,karratha,-20.7377,116.8463,26.98,79,0,5.26,AU,1707764369
303,opuwo,-18.0607,13.84,23.01,76,100,5.74,NA,1707764618
304,naze,28.3667,129.4833,9.51,62,0,1.44,JP,1707764400
305,akureyri,65.6835,-18.0878,0.96,86,100,5.14,IS,1707764377
306,lycksele,64.5954,18.6735,-28.09,76,82,0.0,SE,1707764618
307,puerto santa,-8.9906,-78.6456,22.33,92,97,6.23,PE,1707764618
308,samana,19.2056,-69.3369,30.12,70,40,5.14,DO,1707764618
309,vadso,70.0744,29.7487,-5.91,86,75,5.66,NO,1707764371
310,ardestan,33.3761,52.3694,11.45,25,0,1.66,IR,1707764619
311,sinop,41.7711,34.8709,11.53,54,100,3.69,TR,1707764619
312,kotido,2.9806,34.1331,28.16,35,61,7.1,UG,1707764619
313,pacasmayo,-7.4006,-79.5714,27.13,70,89,6.16,PE,1707764467
314,kourou,5.1552,-52.6478,24.03,82,100,4.38,GF,1707764391
315,raja,8.4596,25.678,30.07,19,43,2.23,SS,1707764619
316,kampene,-3.6,26.6667,22.49,79,100,0.95,CD,1707764619
317,keetmanshoop,-26.5833,18.1333,35.51,13,5,8.75,NA,1707764471
318,zarah sharan,33.1467,68.7917,2.65,42,95,0.82,AF,1707764620
319,mahalapye,-23.1041,26.8142,25.91,40,33,1.98,BW,1707764620
320,gizo,-8.103,156.8419,27.92,75,34,5.19,SB,1707764620
321,college,64.8569,-147.8028,-13.64,81,40,0.0,US,1707764369
322,san luis de la loma,17.2706,-100.8939,29.0,54,36,3.6,MX,1707764620
323,dawson creek,55.7666,-120.2362,0.8,40,0,4.63,CA,1707764621
324,richmond,37.5538,-77.4603,10.12,95,100,3.09,US,1707764559
325,szczecinek,53.7079,16.6994,2.5,96,100,6.07,PL,1707764621
326,sferracavallo,42.726,12.0956,11.03,85,99,1.93,IT,1707764621
327,cungus,38.2125,39.2856,6.27,81,100,1.65,TR,1707764621
328,inarajan village,13.2736,144.7484,26.11,85,100,7.21,GU,1707764621
329,dolisie,-4.1997,12.6739,25.93,83,100,1.77,CG,1707764622
330,lorengau,-2.0226,147.2712,27.21,80,100,3.91,PG,1707764473
331,taoudenni,22.6783,-3.9836,29.26,24,0,4.06,ML,1707764622
332,selfoss,63.9331,-20.9971,-0.53,77,100,5.82,IS,1707764622
333,mount gambier,-37.8333,140.7667,14.79,62,0,1.79,AU,1707764382
334,bushehr,28.9684,50.8385,19.05,72,0,2.06,IR,1707764622
335,ilhabela,-23.7781,-45.3581,27.16,86,100,1.32,BR,1707764623
336,srivardhan,18.0333,73.0167,22.46,64,7,3.34,IN,1707764623
337,puerto baquerizo moreno,-0.9,-89.6,26.55,89,75,3.09,EC,1707764089
338,fort bragg,35.139,-79.006,17.33,92,100,3.09,US,1707764359
339,camana,-16.6228,-72.7111,25.73,74,98,4.1,PE,1707764474
340,camayenne,9.535,-13.6878,30.05,54,40,3.09,GN,1707764623
341,porangatu,-13.4408,-49.1486,27.84,79,100,0.87,BR,1707764623
342,saint-henri,46.6921,-71.0671,1.71,67,100,3.6,CA,1707764623
343,shimabara,32.7833,130.3667,6.61,63,0,1.56,JP,1707764624
344,tomatlan,19.9333,-105.25,29.47,41,79,1.9,MX,1707764379
345,cantanhede,-3.6333,-44.3767,28.5,84,100,0.85,BR,1707764624
346,wadebridge,50.5173,-4.8363,8.14,76,20,4.63,GB,1707764624
347,uturoa,-16.7333,-151.4333,26.31,95,100,5.67,PF,1707764384
348,maxixe,-23.8597,35.3472,24.91,73,20,4.63,MZ,1707764624
349,alaghsas,17.0187,8.0168,29.94,6,0,3.6,NE,1707764624
350,stiens,53.2623,5.7577,6.66,83,75,3.6,NL,1707764625
351,kosh-agach,50.0,88.6667,-29.27,82,2,0.45,RU,1707764625
352,chui,-33.6971,-53.4616,23.76,90,100,7.7,UY,1707764625
353,progreso,21.2833,-89.6667,33.06,90,0,6.83,MX,1707764625
354,robertsport,6.7533,-11.3686,28.25,84,100,4.66,LR,1707764625
355,harihar,14.5167,75.8,24.83,37,100,6.01,IN,1707764625
356,juba,4.8517,31.5825,29.67,42,75,0.39,SS,1707764625
357,manicore,-5.8092,-61.3003,25.07,96,100,0.66,BR,1707764625
358,nadi,-17.8,177.4167,28.0,89,40,2.06,FJ,1707764371
359,ts'nori,41.6209,45.9694,11.16,51,100,0.4,GE,1707764626
360,rosarito,32.3333,-117.0333,18.47,52,0,2.88,MX,1707764406
361,minas de marcona,-15.2119,-75.1103,28.66,42,57,3.43,PE,1707764378
362,ad dabbah,18.05,30.95,23.06,13,0,3.52,SD,1707764394
363,la ronge,55.1001,-105.2842,-4.86,68,75,2.57,CA,1707764390
